Flux_name,LC,Lat,lon,flux_site
AR-SLu,MF,-33.4648,-66.4598,AR-SLu
AR-Vir,ENF,-28.2395,-56.1886,AR-Vir
AT-Neu,GRA,47.1167,11.3175,AT-Neu
AU-Ade,WSA,-13.0769,131.1178,AU-Ade
AU-Cpr,SAV,-34.0021,140.5891,AU-Cpr
AU-Cum,EBF,-33.6152,150.7236,AU-Cum
AU-DaP,GRA,-14.0633,131.3181,AU-DaP
AU-DaS,SAV,-14.1593,131.3881,AU-DaS
AU-Dry,SAV,-15.2588,132.3706,AU-Dry
AU-Emr,GRA,-23.8587,148.4746,AU-Emr
AU-Fog,WET,-12.5452,131.3072,AU-Fog
AU-GWW,SAV,-30.1913,120.6541,AU-GWW
AU-Gin,WSA,-31.3764,115.7138,AU-Gin
AU-How,WSA,-12.4943,131.1523,AU-How
AU-Lox,DBF,-34.4704,140.6551,AU-Lox
AU-RDF,WSA,-14.5636,132.4776,AU-RDF
AU-Rig,GRA,-36.6499,145.5759,AU-Rig
AU-Rob,EBF,-17.1175,145.6301,AU-Rob
AU-Stp,GRA,-17.1507,133.3502,AU-Stp
AU-Tum,EBF,-35.6566,148.1517,AU-Tum
AU-Wac,EBF,-37.4259,145.1878,AU-Wac
AU-Whr,EBF,-36.6732,145.0294,AU-Whr
AU-Ync,GRA,-34.9893,146.2907,AU-Ync
BE-Bra,MF,51.3076,4.5198,BE-Bra
BE-Lon,CRO,50.5516,4.7461,BE-Lon
BE-Vie,MF,50.305,5.9981,BE-Vie
BR-Sa3,EBF,-3.018,-54.9714,BR-Sa3
CA-Man,ENF,55.8796,-98.4808,CA-Man
CA-NS1,ENF,55.8792,-98.4839,CA-NS1
CA-NS2,ENF,55.9058,-98.5247,CA-NS2
CA-NS3,ENF,55.9117,-98.3822,CA-NS3
CA-NS4,ENF,55.9144,-98.3806,CA-NS4
CA-NS5,ENF,55.8631,-98.485,CA-NS5
CA-NS6,OSH,55.9167,-98.9644,CA-NS6
CA-NS7,OSH,56.6358,-99.9483,CA-NS7
CA-Qfo,ENF,49.6925,-74.3421,CA-Qfo
CA-SF1,ENF,54.485,-105.8176,CA-SF1
CA-SF2,ENF,54.2539,-105.8775,CA-SF2
CA-SF3,OSH,54.0916,-106.0053,CA-SF3
CH-Cha,GRA,47.2102,8.4104,CH-Cha
CH-Dav,ENF,46.8153,9.8559,CH-Dav
CH-Fru,GRA,47.1158,8.5378,CH-Fru
CH-Lae,MF,47.4781,8.365,CH-Lae
CH-Oe1,GRA,47.2858,7.7319,CH-Oe1
CH-Oe2,CRO,47.2863,7.7343,CH-Oe2
CN-Cha,MF,42.4025,128.0958,CN-Cha
CN-Cng,GRA,44.5934,123.5092,CN-Cng
CN-Dan,GRA,30.4978,91.0664,CN-Dan
CN-Din,EBF,23.1733,112.5361,CN-Din
CN-Du2,GRA,42.0467,116.2836,CN-Du2
CN-Ha2,WET,37.6086,101.3269,CN-Ha2
CN-HaM,GRA,37.37,101.18,CN-HaM
CN-Qia,ENF,26.7414,115.0581,CN-Qia
CN-Sw2,GRA,41.7902,111.8971,CN-Sw2
CZ-wet,WET,49.0247,14.7704,CZ-wet
DE-Akm,WET,53.8662,13.6834,DE-Akm
DE-Geb,CRO,51.1001,10.9143,DE-Geb
